id_site,id_student,code_module,code_presentation,date,sum_click
10,1,AAA,2013J,7,1
3,1,AAA,2013J,78,3
1,1,AAA,2013J,230,17
18,1,AAA,2013J,230,25
4,1,AAA,2013J,230,7
13,1,AAA,2013J,230,7
17,1,AAA,2013J,230,12
14,1,AAA,2013J,209,8
1,1,AAA,2013J,209,1
24,1,AAA,2013J,209,1
4,1,AAA,2013J,209,1
13,1,AAA,2013J,209,10
3,1,AAA,2013J,88,9
4,1,AAA,2013J,88,9
9,1,AAA,2013J,117,1
13,1,AAA,2013J,117,1
15,1,AAA,2013J,117,12
17,1,AAA,2013J,117,1
5,1,AAA,2013J,161,5
22,1,AAA,2013J,161,4
12,1,AAA,2013J,161,4
25,1,AAA,2013J,161,16
20,1,AAA,2013J,161,27
21,1,AAA,2013J,138,10
1,1,AAA,2013J,138,3
8,1,AAA,2013J,138,6
25,1,AAA,2013J,236,10
24,1,AAA,2013J,236,26
9,1,AAA,2013J,236,7
4,1,AAA,2013J,226,5
24,1,AAA,2013J,60,54
25,1,AAA,2013J,60,8
19,1,AAA,2013J,60,1
26,1,AAA,2013J,221,11
2,1,AAA,2013J,221,3
4,1,AAA,2013J,221,18
6,1,AAA,2013J,172,9
19,1,AAA,2013J,172,13
13,1,AAA,2013J,172,9
16,1,AAA,2013J,172,10
21,1,AAA,2013J,172,51
12,1,AAA,2013J,186,4
19,1,AAA,2013J,186,116
5,1,AAA,2013J,149,43
23,1,AAA,2013J,149,8
16,1,AAA,2013J,149,15
1,1,AAA,2013J,149,2
11,1,AAA,2013J,149,46
17,1,AAA,2013J,178,16
26,1,AAA,2013J,178,18
20,1,AAA,2013J,178,54
5,1,AAA,2013J,217,4
13,1,AAA,2013J,217,41
9,1,AAA,2013J,217,1
22,1,AAA,2013J,98,1
26,1,AAA,2013J,98,4
21,1,AAA,2013J,232,1
16,1,AAA,2013J,148,17
15,1,AAA,2013J,148,41
2,1,AAA,2013J,148,1
13,1,AAA,2013J,148,10
24,1,AAA,2013J,148,8
17,1,AAA,2013J,34,1
18,1,AAA,2013J,34,14
28,1,AAA,2013J,34,13
4,1,AAA,2013J,34,47
25,1,AAA,2013J,163,21
2,1,AAA,2013J,163,1
28,1,AAA,2013J,163,1
9,1,AAA,2013J,163,9
3,1,AAA,2013J,129,38
26,1,AAA,2013J,129,18
25,1,AAA,2013J,129,1
21,1,AAA,2013J,129,5
12,1,AAA,2013J,72,2
13,1,AAA,2013J,72,1
9,1,AAA,2013J,72,7
1,1,AAA,2013J,72,36
10,1,AAA,2013J,72,18
21,1,AAA,2013J,216,14
10,1,AAA,2013J,18,27
29,1,AAA,2013J,18,34
1,1,AAA,2013J,201,34
2,1,AAA,2013J,201,19
28,1,AAA,2013J,201,1
5,1,AAA,2013J,201,20
14,1,AAA,2013J,139,1
15,1,AAA,2013J,139,1
30,1,AAA,2013J,228,11
21,1,AAA,2013J,228,37
3,1,AAA,2013J,228,29
23,1,AAA,2013J,228,10
14,1,AAA,2013J,35,20
15,1,AAA,2013J,35,33
30,1,AAA,2013J,35,13
12,1,AAA,2013J,35,16
13,1,AAA,2013J,95,68
11,1,AAA,2013J,95,7
23,1,AAA,2013J,119,21
6,1,AAA,2013J,119,5
20,1,AAA,2013J,119,9
30,1,AAA,2013J,6,33
18,1,AAA,2013J,6,53
4,1,AAA,2013J,102,8
18,1,AAA,2013J,102,32
12,1,AAA,2013J,233,10
13,1,AAA,2013J,233,17
1,1,AAA,2013J,238,11
19,1,AAA,2013J,238,13
19,1,AAA,2013J,170,50
14,1,AAA,2013J,170,30
13,1,AAA,2013J,170,36
24,1,AAA,2013J,170,28
26,1,AAA,2013J,152,2
29,1,AAA,2013J,152,20
23,1,AAA,2013J,152,1
24,1,AAA,2013J,211,8
18,1,AAA,2013J,211,4
4,1,AAA,2013J,211,9
28,1,AAA,2013J,211,7
29,1,AAA,2013J,73,6
2,1,AAA,2013J,73,5
1,1,AAA,2013J,73,6
14,1,AAA,2013J,73,12
13,1,AAA,2013J,73,4
9,1,AAA,2013J,80,27
11,1,AAA,2013J,80,38
10,1,AAA,2013J,194,6
7,1,AAA,2013J,194,30
4,1,AAA,2013J,194,33
19,1,AAA,2013J,43,12
17,1,AAA,2013J,43,2
25,1,AAA,2013J,43,35
22,2,AAA,2013J,23,13
17,2,AAA,2013J,202,11
21,2,AAA,2013J,202,19
9,2,AAA,2013J,202,10
23,2,AAA,2013J,202,13
7,2,AAA,2013J,202,11
9,2,AAA,2013J,148,4
1,2,AAA,2013J,148,81
10,2,AAA,2013J,156,10
3,2,AAA,2013J,156,21
8,2,AAA,2013J,156,19
20,2,AAA,2013J,145,9
9,2,AAA,2013J,145,11
20,2,AAA,2013J,154,26
25,2,AAA,2013J,154,35
29,2,AAA,2013J,154,2
30,2,AAA,2013J,111,4
3,2,AAA,2013J,111,5
20,2,AAA,2013J,111,22
29,2,AAA,2013J,111,21
27,2,AAA,2013J,111,1
7,2,AAA,2013J,28,4
20,2,AAA,2013J,28,8
10,2,AAA,2013J,28,6
17,2,AAA,2013J,28,22
1,2,AAA,2013J,28,23
1,2,AAA,2013J,22,22
8,2,AAA,2013J,22,1
4,2,AAA,2013J,22,1
12,2,AAA,2013J,22,7
19,2,AAA,2013J,143,6
30,2,AAA,2013J,143,9
23,2,AAA,2013J,143,7
21,2,AAA,2013J,139,11
15,2,AAA,2013J,139,3
2,2,AAA,2013J,139,109
13,2,AAA,2013J,139,10
6,2,AAA,2013J,139,12
17,2,AAA,2013J,195,1
11,2,AAA,2013J,31,12
17,2,AAA,2013J,31,10
21,2,AAA,2013J,31,22
19,2,AAA,2013J,157,9
13,2,AAA,2013J,157,9
24,2,AAA,2013J,157,12
12,2,AAA,2013J,157,1
22,2,AAA,2013J,46,8
13,2,AAA,2013J,46,15
11,2,AAA,2013J,46,51
9,2,AAA,2013J,46,12
22,2,AAA,2013J,170,8
20,2,AAA,2013J,170,10
15,2,AAA,2013J,86,7
12,2,AAA,2013J,86,3
9,2,AAA,2013J,86,9
5,2,AAA,2013J,193,11
24,2,AAA,2013J,193,4
15,2,AAA,2013J,132,1
29,2,AAA,2013J,97,2
7,2,AAA,2013J,97,23
18,2,AAA,2013J,97,6
1,2,AAA,2013J,97,8
10,2,AAA,2013J,97,2
4,2,AAA,2013J,19,1
19,2,AAA,2013J,226,29
13,2,AAA,2013J,226,1
28,2,AAA,2013J,226,8
21,2,AAA,2013J,206,2
16,2,AAA,2013J,206,37
7,2,AAA,2013J,64,22
29,2,AAA,2013J,64,18
25,2,AAA,2013J,11,24
15,2,AAA,2013J,11,7
12,2,AAA,2013J,11,8
8,2,AAA,2013J,11,11
5,2,AAA,2013J,11,10
4,2,AAA,2013J,230,10
15,2,AAA,2013J,230,10
6,2,AAA,2013J,230,40
5,2,AAA,2013J,230,17
13,2,AAA,2013J,230,9
25,2,AAA,2013J,96,12
21,2,AAA,2013J,96,23
16,2,AAA,2013J,96,3
12,2,AAA,2013J,186,4
10,2,AAA,2013J,186,16
6,2,AAA,2013J,186,10
26,2,AAA,2013J,147,17
27,2,AAA,2013J,147,12
7,2,AAA,2013J,147,17
16,2,AAA,2013J,149,4
23,2,AAA,2013J,149,18
23,2,AAA,2013J,141,8
15,2,AAA,2013J,141,6
8,2,AAA,2013J,141,4
17,2,AAA,2013J,141,12
3,2,AAA,2013J,212,2
14,2,AAA,2013J,212,12
24,2,AAA,2013J,212,40
7,2,AAA,2013J,62,17
6,2,AAA,2013J,62,18
25,2,AAA,2013J,62,21
5,2,AAA,2013J,62,41
10,2,AAA,2013J,62,16
3,2,AAA,2013J,98,23
29,2,AAA,2013J,55,5
4,2,AAA,2013J,55,11
16,2,AAA,2013J,125,8
10,2,AAA,2013J,125,6
10,2,AAA,2013J,224,1
3,2,AAA,2013J,224,12
15,2,AAA,2013J,224,7
9,2,AAA,2013J,224,54
13,2,AAA,2013J,224,10
19,2,AAA,2013J,137,5
3,2,AAA,2013J,137,5
7,2,AAA,2013J,137,49
18,2,AAA,2013J,227,7
3,2,AAA,2013J,227,16
12,2,AAA,2013J,185,1
15,2,AAA,2013J,135,17
4,2,AAA,2013J,135,3
7,2,AAA,2013J,135,8
8,2,AAA,2013J,38,1
22,2,AAA,2013J,7,15
14,2,AAA,2013J,7,25
3,2,AAA,2013J,7,24
24,2,AAA,2013J,7,2
18,2,AAA,2013J,152,19
16,2,AAA,2013J,152,1
8,2,AAA,2013J,114,4
19,2,AAA,2013J,114,38
5,2,AAA,2013J,114,2
17,2,AAA,2013J,0,7
16,2,AAA,2013J,0,1
8,2,AAA,2013J,0,16
6,2,AAA,2013J,110,6
27,2,AAA,2013J,110,31
10,2,AAA,2013J,110,1
13,2,AAA,2013J,110,44
28,2,AAA,2013J,110,21
11,2,AAA,2013J,175,9
25,2,AAA,2013J,14,10
16,2,AAA,2013J,14,14
23,2,AAA,2013J,10,4
11,2,AAA,2013J,10,11
2,2,AAA,2013J,10,15
15,2,AAA,2013J,10,8
25,2,AAA,2013J,10,13
11,2,AAA,2013J,181,9
8,2,AAA,2013J,181,32
21,2,AAA,2013J,153,12
25,2,AAA,2013J,82,8
19,2,AAA,2013J,82,8
13,2,AAA,2013J,82,26
23,2,AAA,2013J,2,2
15,2,AAA,2013J,2,12
30,2,AAA,2013J,2,1
24,2,AAA,2013J,113,7
23,2,AAA,2013J,155,14
30,2,AAA,2013J,155,3
27,2,AAA,2013J,155,3
19,2,AAA,2013J,155,1
12,2,AAA,2013J,74,7
13,2,AAA,2013J,74,13
19,2,AAA,2013J,74,20
18,2,AAA,2013J,74,7
11,2,AAA,2013J,74,1
9,2,AAA,2013J,235,2
1,2,AAA,2013J,235,61
16,2,AAA,2013J,235,27
19,2,AAA,2013J,235,4
25,2,AAA,2013J,235,5
10,2,AAA,2013J,172,4
7,2,AAA,2013J,172,5
26,2,AAA,2013J,32,39
9,2,AAA,2013J,32,16
13,2,AAA,2013J,32,14
3,2,AAA,2013J,209,4
2,2,AAA,2013J,209,6
27,2,AAA,2013J,209,38
21,2,AAA,2013J,209,58
14,2,AAA,2013J,122,10
30,2,AAA,2013J,122,11
23,2,AAA,2013J,122,10
10,2,AAA,2013J,122,9
27,2,AAA,2013J,106,61
23,2,AAA,2013J,106,67
18,2,AAA,2013J,106,6
23,2,AAA,2013J,76,38
28,2,AAA,2013J,76,9
15,2,AAA,2013J,76,6
16,2,AAA,2013J,219,1
16,2,AAA,2013J,45,60
24,2,AAA,2013J,99,1
30,2,AAA,2013J,99,16
20,2,AAA,2013J,99,1
5,2,AAA,2013J,99,3
1,2,AAA,2013J,189,23
30,2,AAA,2013J,239,2
13,2,AAA,2013J,239,7
3,2,AAA,2013J,239,1
12,2,AAA,2013J,239,1
2,2,AAA,2013J,174,11
26,2,AAA,2013J,174,7
3,2,AAA,2013J,174,13
12,2,AAA,2013J,33,9
10,2,AAA,2013J,33,1
25,2,AAA,2013J,33,7
20,2,AAA,2013J,129,68
16,2,AAA,2013J,129,14
8,2,AAA,2013J,158,27
29,2,AAA,2013J,158,11
18,2,AAA,2013J,83,26
17,2,AAA,2013J,83,20
22,2,AAA,2013J,112,2
14,2,AAA,2013J,101,5
19,2,AAA,2013J,101,1
10,2,AAA,2013J,101,5
15,2,AAA,2013J,101,1
28,2,AAA,2013J,101,61
17,2,AAA,2013J,56,16
15,2,AAA,2013J,56,2
27,2,AAA,2013J,56,1
24,2,AAA,2013J,56,6
9,2,AAA,2013J,56,13
27,2,AAA,2013J,197,1
18,2,AAA,2013J,197,4
3,2,AAA,2013J,197,1
1,2,AAA,2013J,197,24
23,2,AAA,2013J,197,19
14,2,AAA,2013J,207,2
6,2,AAA,2013J,57,3
3,2,AAA,2013J,57,20
16,2,AAA,2013J,57,17
9,2,AAA,2013J,29,1
6,2,AAA,2013J,29,11
1,2,AAA,2013J,29,28
29,2,AAA,2013J,44,60
17,2,AAA,2013J,44,1
25,2,AAA,2013J,44,12
6,2,AAA,2013J,44,33
2,2,AAA,2013J,188,10
15,2,AAA,2013J,188,10
5,2,AAA,2013J,188,17
16,2,AAA,2013J,188,6
15,2,AAA,2013J,138,22
21,2,AAA,2013J,134,1
8,2,AAA,2013J,134,10
13,2,AAA,2013J,134,20
9,2,AAA,2013J,194,1
10,2,AAA,2013J,194,8
26,2,AAA,2013J,220,1
1,2,AAA,2013J,178,11
14,2,AAA,2013J,178,12
15,2,AAA,2013J,178,19
16,2,AAA,2013J,178,56
29,2,AAA,2013J,178,5
13,2,AAA,2013J,182,37
15,2,AAA,2013J,182,33
15,2,AAA,2013J,116,18
14,2,AAA,2013J,116,11
28,2,AAA,2013J,116,1
28,2,AAA,2013J,119,5
12,2,AAA,2013J,119,1
26,2,AAA,2013J,119,24
19,2,AAA,2013J,192,7
27,2,AAA,2013J,54,2
27,2,AAA,2013J,49,2
17,2,AAA,2013J,49,1
24,2,AAA,2013J,49,3
7,2,AAA,2013J,49,18
30,2,AAA,2013J,49,1
13,2,AAA,2013J,15,23
6,2,AAA,2013J,15,47
6,2,AAA,2013J,160,1
13,2,AAA,2013J,160,10
20,2,AAA,2013J,160,15
30,2,AAA,2013J,160,18
7,2,AAA,2013J,160,29
16,2,AAA,2013J,232,13
8,2,AAA,2013J,80,1
24,2,AAA,2013J,80,17
30,2,AAA,2013J,228,9
24,2,AAA,2013J,228,7
27,2,AAA,2013J,228,8
19,2,AAA,2013J,214,1
2,2,AAA,2013J,21,7
10,2,AAA,2013J,21,1
25,2,AAA,2013J,21,25
16,2,AAA,2013J,21,2
6,2,AAA,2013J,21,13
26,2,AAA,2013J,166,1
29,2,AAA,2013J,63,4
1,2,AAA,2013J,63,12
20,2,AAA,2013J,107,10
28,2,AAA,2013J,107,13
1,2,AAA,2013J,107,31
18,2,AAA,2013J,107,2
4,2,AAA,2013J,107,12
6,2,AAA,2013J,133,1
29,2,AAA,2013J,133,28
3,2,AAA,2013J,133,17
14,2,AAA,2013J,222,11
25,2,AAA,2013J,222,17
15,2,AAA,2013J,222,43
9,2,AAA,2013J,222,23
21,2,AAA,2013J,222,1
14,2,AAA,2013J,117,2
24,2,AAA,2013J,117,9
9,2,AAA,2013J,115,1
15,2,AAA,2013J,17,4
3,2,AAA,2013J,17,13
5,2,AAA,2013J,17,2
7,2,AAA,2013J,34,2
25,2,AAA,2013J,34,13
29,2,AAA,2013J,34,11
1,2,AAA,2013J,34,47
9,2,AAA,2013J,5,11
15,2,AAA,2013J,5,11
5,2,AAA,2013J,5,51
16,2,AAA,2013J,93,26
8,2,AAA,2013J,93,15
11,2,AAA,2013J,238,29
13,2,AAA,2013J,238,21
22,2,AAA,2013J,238,1
5,2,AAA,2013J,238,10
18,2,AAA,2013J,225,39
13,2,AAA,2013J,225,1
26,2,AAA,2013J,225,2
17,2,AAA,2013J,225,1
21,2,AAA,2013J,120,14
19,2,AAA,2013J,120,1
5,2,AAA,2013J,120,1
7,2,AAA,2013J,120,16
20,2,AAA,2013J,191,36
9,2,AAA,2013J,191,12
8,2,AAA,2013J,196,7
18,2,AAA,2013J,196,1
8,2,AAA,2013J,39,1
25,2,AAA,2013J,40,13
24,2,AAA,2013J,40,25
26,2,AAA,2013J,40,10
22,2,AAA,2013J,40,13
9,2,AAA,2013J,40,11
10,2,AAA,2013J,233,51
8,2,AAA,2013J,233,2
2,2,AAA,2013J,233,7
14,2,AAA,2013J,223,51
11,2,AAA,2013J,223,38
9,2,AAA,2013J,223,18
15,2,AAA,2013J,223,11
8,2,AAA,2013J,35,6
16,2,AAA,2013J,35,7
2,2,AAA,2013J,4,12
22,2,AAA,2013J,4,8
10,2,AAA,2013J,43,1
7,2,AAA,2013J,43,2
5,2,AAA,2013J,109,6
11,2,AAA,2013J,109,26
20,2,AAA,2013J,109,5
20,2,AAA,2013J,151,1
11,2,AAA,2013J,199,42
19,2,AAA,2013J,199,51
4,2,AAA,2013J,199,8
13,2,AAA,2013J,199,26
17,2,AAA,2013J,199,7
6,2,AAA,2013J,1,2
23,2,AAA,2013J,1,11
24,2,AAA,2013J,25,1
28,2,AAA,2013J,25,16
30,2,AAA,2013J,25,16
14,2,AAA,2013J,25,9
7,2,AAA,2013J,25,12
1,2,AAA,2013J,146,17
20,2,AAA,2013J,146,2
14,2,AAA,2013J,146,15
25,2,AAA,2013J,42,32
6,2,AAA,2013J,42,25
12,2,AAA,2013J,42,34
30,2,AAA,2013J,42,8
10,2,AAA,2013J,30,11
4,2,AAA,2013J,30,8
7,2,AAA,2013J,30,8
3,2,AAA,2013J,167,3
16,2,AAA,2013J,167,26
13,2,AAA,2013J,167,16
29,2,AAA,2013J,167,45
7,2,AAA,2013J,237,17
16,2,AAA,2013J,237,6
24,2,AAA,2013J,237,3
27,2,AAA,2013J,237,18
20,2,AAA,2013J,237,12
3,2,AAA,2013J,211,14
11,2,AAA,2013J,211,3
28,2,AAA,2013J,211,12
4,2,AAA,2013J,211,95
22,2,AAA,2013J,128,4
3,2,AAA,2013J,171,1
15,2,AAA,2013J,171,13
8,2,AAA,2013J,71,17
5,2,AAA,2013J,71,16
1,2,AAA,2013J,102,30
12,2,AAA,2013J,102,2
9,2,AAA,2013J,27,27
5,2,AAA,2013J,161,3
19,2,AAA,2013J,163,29
20,2,AAA,2013J,163,5
6,2,AAA,2013J,163,19
2,2,AAA,2013J,163,28
17,2,AAA,2013J,163,4
28,2,AAA,2013J,183,12
24,2,AAA,2013J,183,2
19,2,AAA,2013J,100,10
28,2,AAA,2013J,100,3
23,2,AAA,2013J,100,29
29,2,AAA,2013J,100,41
20,2,AAA,2013J,24,2
7,2,AAA,2013J,69,16
27,2,AAA,2013J,69,4
1,2,AAA,2013J,69,7
13,2,AAA,2013J,69,2
21,2,AAA,2013J,69,39
27,2,AAA,2013J,159,17
20,2,AAA,2013J,159,14
27,2,AAA,2013J,18,9
30,2,AAA,2013J,18,5
25,2,AAA,2013J,18,8
9,2,AAA,2013J,18,16
10,2,AAA,2013J,50,17
13,2,AAA,2013J,50,15
17,2,AAA,2013J,50,7
23,2,AAA,2013J,50,3
19,2,AAA,2013J,104,19
26,2,AAA,2013J,104,12
22,2,AAA,2013J,104,3
28,2,AAA,2013J,104,1
5,2,AAA,2013J,184,7
8,2,AAA,2013J,184,17
2,2,AAA,2013J,94,4
26,2,AAA,2013J,94,6
18,2,AAA,2013J,94,7
27,2,AAA,2013J,94,1
15,2,AAA,2013J,66,1
8,2,AAA,2013J,88,6
18,2,AAA,2013J,88,3
9,2,AAA,2013J,201,2
14,2,AAA,2013J,201,3
24,2,AAA,2013J,201,13
7,2,AAA,2013J,201,23
25,2,AAA,2013J,61,2
4,2,AAA,2013J,61,7
30,2,AAA,2013J,61,24
13,2,AAA,2013J,41,19
3,2,AAA,2013J,41,13
5,2,AAA,2013J,41,12
21,2,AAA,2013J,75,2
26,2,AAA,2013J,75,6
24,2,AAA,2013J,105,1
8,2,AAA,2013J,105,1
20,2,AAA,2013J,105,8
1,2,AAA,2013J,105,11
2,2,AAA,2013J,105,1
23,2,AAA,2013J,118,12
11,2,AAA,2013J,118,11
23,2,AAA,2013J,173,5
22,2,AAA,2013J,173,14
24,2,AAA,2013J,173,2
21,2,AAA,2013J,89,22
12,2,AAA,2013J,89,34
29,2,AAA,2013J,89,6
29,2,AAA,2013J,85,7
28,2,AAA,2013J,85,5
14,2,AAA,2013J,85,2
6,2,AAA,2013J,84,6
12,2,AAA,2013J,84,9
13,2,AAA,2013J,84,64
14,2,AAA,2013J,84,8
3,2,AAA,2013J,84,3
17,2,AAA,2013J,91,4
2,2,AAA,2013J,91,7
16,2,AAA,2013J,91,20
9,2,AAA,2013J,91,1
12,2,AAA,2013J,91,23
8,2,AAA,2013J,198,10
22,2,AAA,2013J,198,20
2,2,AAA,2013J,198,6
29,2,AAA,2013J,198,27
21,2,AAA,2013J,130,1
22,2,AAA,2013J,130,6
11,2,AAA,2013J,130,36
30,2,AAA,2013J,130,21
24,2,AAA,2013J,130,1
16,2,AAA,2013J,203,45
2,2,AAA,2013J,203,19
8,2,AAA,2013J,205,89
6,2,AAA,2013J,205,18
16,2,AAA,2013J,205,9
25,2,AAA,2013J,205,16
3,2,AAA,2013J,205,3
25,2,AAA,2013J,87,9
9,2,AAA,2013J,87,11
16,2,AAA,2013J,87,6
26,2,AAA,2013J,87,12
15,2,AAA,2013J,87,1
2,2,AAA,2013J,234,1
30,2,AAA,2013J,234,5
20,2,AAA,2013J,234,1
14,2,AAA,2013J,36,12
15,2,AAA,2013J,36,3
13,2,AAA,2013J,36,28
3,2,AAA,2013J,36,14
9,2,AAA,2013J,72,12
30,2,AAA,2013J,72,1
21,2,AAA,2013J,72,1
23,2,AAA,2013J,72,7
5,2,AAA,2013J,72,1
30,2,AAA,2013J,204,5
6,2,AAA,2013J,204,15
17,2,AAA,2013J,169,1
14,2,AAA,2013J,169,15
22,2,AAA,2013J,169,19
19,2,AAA,2013J,58,3
18,2,AAA,2013J,58,47
22,2,AAA,2013J,58,6
3,2,AAA,2013J,58,1
12,2,AAA,2013J,58,1
14,2,AAA,2013J,81,7
30,2,AAA,2013J,81,12
28,2,AAA,2013J,81,18
16,2,AAA,2013J,81,11
26,2,AAA,2013J,60,7
12,2,AAA,2013J,60,21
18,2,AAA,2013J,37,35
3,2,AAA,2013J,37,5
25,2,AAA,2013J,37,7
6,2,AAA,2013J,37,1
27,2,AAA,2013J,12,22
4,2,AAA,2013J,12,5
1,2,AAA,2013J,12,11
23,2,AAA,2013J,12,7
5,2,AAA,2013J,12,7
22,2,AAA,2013J,208,28
24,2,AAA,2013J,208,45
4,2,AAA,2013J,208,1
14,2,AAA,2013J,236,2
3,2,AAA,2013J,236,12
4,2,AAA,2013J,236,8
27,2,AAA,2013J,236,9
16,2,AAA,2013J,236,33
9,2,AAA,2013J,190,19
